node,degree,degree_centrality,closeness_centrality,betweness_centrality,eigenvector_centrality,clustering
eful_igaxasoc,3,9.87E-04,9.05E-03,0,2.73E-20,0
emev_uwotucud59,3,9.87E-04,9.87E-04,0,8.22E-20,0
akexohiyeh63,3,9.87E-04,9.87E-04,0,-1.48E-19,0
Jose13892823,3,9.87E-04,9.04E-03,0,-4.54E-20,0
ecod_opexoz31,10,3.29E-03,0,0,-1.33E-18,0
igev_uhaziy29,6,1.97E-03,9.56E-03,0,-2.37E-19,0
onej_iladehaq81,3,9.87E-04,8.17E-03,0,-4.06E-21,0
otov_abekiyol69,15,4.94E-03,0,0,2.57E-17,0
escupotwits,3,9.87E-04,9.87E-04,0,8.26E-20,0
emrehanozturk,6,1.97E-03,4.63E-03,0,-1.71E-19,0
uget_elewumut,5,1.65E-03,0,0,9.24E-04,0
uyoqugurawiq95,4,1.32E-03,8.76E-03,0,2.63E-19,1.67E-01
epir_ubasux75,15,4.94E-03,1.32E-03,1.49E-05,1.98E-18,0
oyakatehiruy02,6,1.97E-03,2.22E-03,0,1.71E-20,0
uwoperepev59,23,7.57E-03,0,0,4.28E-03,0
elep_ezezisir06,4,1.32E-03,6.98E-03,0,1.12E-19,0
DigitalZacor,3,9.87E-04,9.42E-03,0,-1.64E-19,0
exal_arofug64,3,9.87E-04,8.65E-03,0,2.16E-19,0
arexapomufoj,6,1.97E-03,1.71E-02,0,1.61E-19,0
uporecojinow17,8,2.63E-03,8.79E-03,0,4.07E-20,0
ofay_esuwoh30,2,6.58E-04,0,0,8.90E-18,0
ocabevucum46,3,9.87E-04,9.87E-04,0,-1.66E-19,0
iqimozowux70,3,9.87E-04,2.16E-03,0,2.10E-19,0
Lucassatte,3,9.87E-04,6.76E-03,0,2.22E-20,0
ojil_ibiladov91,3,9.87E-04,9.87E-04,0,2.11E-19,0
akojiwunudub56,4,1.32E-03,6.32E-03,0,9.80E-20,0
ihicakatuduj,14,4.61E-03,0,0,1.24E-02,0
ubaqelukor35,3,9.87E-04,9.87E-04,0,1.35E-19,0
izipeyonukor,15,4.94E-03,9.87E-04,3.90E-06,-3.11E-20,0
ozit_atakoyos76,3,9.87E-04,3.16E-03,0,8.01E-20,0
ecayacazudoq71,3,9.87E-04,9.87E-04,0,8.41E-20,0
oqek_unulum24,3,9.87E-04,2.11E-03,0,-5.50E-20,0
ocoqikehujaf,6,1.97E-03,0,0,-1.58E-17,0
ipeg_uxijiv40,3,9.87E-04,1.47E-03,0,1.74E-19,0
elam_osudetej04,4,1.32E-03,6.65E-03,0,1.30E-19,1.67E-01
rinrin_misdem,3,9.87E-04,8.69E-03,0,1.40E-19,0
ejiy_iluzis15,2,6.58E-04,0,0,1.44E-19,0
ades_ohezonof,2,6.58E-04,0,0,-3.79E-19,0
ugos_oxedep40,4,1.32E-03,1.32E-03,0,1.21E-19,0
